术语总数：	1558
Tr	Total	Right	Wrong	P	Recall	F1
0	1368.00 	1199.00 	169.00 	87.65%	76.96%	81.95%
2	1376.00 	1203.00 	173.00 	87.43%	77.21%	82.00%
4	1370.00 	1201.00 	169.00 	87.66%	77.09%	82.04%
6	1366.00 	1202.00 	164.00 	87.99%	77.15%	82.22%
8	1343.00 	1197.00 	146.00 	89.13%	76.83%	82.52%
10	1342.00 	1196.00 	146.00 	89.12%	76.77%	82.48%
12	1336.00 	1194.00 	142.00 	89.37%	76.64%	82.52%
14	1334.00 	1193.00 	141.00 	89.43%	76.57%	82.50%
16	1333.00 	1192.00 	141.00 	89.42%	76.51%	82.46%
18	1332.00 	1191.00 	141.00 	89.41%	76.44%	82.42%
20	1331.00 	1190.00 	141.00 	89.41%	76.38%	82.38%
30	1325.00 	1188.00 	147.00 	89.66%	76.25%	82.41%
40	1321.00 	1188.00 	133.00 	89.93%	76.25%	82.53%
50	1314.00 	1187.00 	127.00 	90.33%	76.19%	82.66%
60	1309.00 	1186.00 	123.00 	90.60%	76.12%	82.73%
70	1306.00 	1184.00 	122.00 	90.66%	75.99%	82.68%
80	1301.00 	1181.00 	120.00 	90.78%	75.80%	82.62%
90	1297.00 	1178.00 	119.00 	90.82%	75.61%	82.52%
100	1293.00 	1175.00 	118.00 	90.87%	75.42%	82.43%
